,location,visited
0,Western Sahara,no
1,Greenland,no
2,Antarctica,no
3,Taiwan,no
4,Eritrea,no
5,Belarus,no
6,Moldova,no
7,Lithuania,no
8,Russia,no
9,Romania,no
10,Ukraine,no
11,Andorra,no
12,Hungary,no
13,Czech Republic,yes
14,Slovakia,no
15,Portugal,yes
16,Serbia,no
17,Grenada,no
18,Poland,no
19,Latvia,no
20,Finland,no
21,South Korea,no
22,France,yes
23,Australia,no
24,Croatia,no
25,Ireland,no
26,Luxembourg,no
27,Germany,no
28,Slovenia,no
29,United Kingdom,yes
30,Denmark,no
31,Bulgaria,no
32,Spain,yes
33,Belgium,yes
34,South Africa,no
35,New Zealand,no
36,South Sudan,no
37,Gabon,no
38,Namibia,no
39,Switzerland,no
40,Saint Lucia,no
41,Austria,no
42,Estonia,no
43,Greece,no
44,Kazakhstan,no
45,Canada,yes
46,Nigeria,no
47,Netherlands,no
48,Uganda,no
49,Rwanda,no
50,Chile,no
51,Argentina,no
52,Burundi,no
53,United States,yes
54,Cyprus,no
55,Sweden,yes
56,Venezuela,no
57,Paraguay,no
58,Brazil,no
59,Sierra Leone,no
60,Montenegro,no
61,Belize,no
62,Cameroon,no
63,Botswana,no
64,Saint Kitts and Nevis,no
65,Guyana,no
66,Peru,no
67,Panama,no
68,Niue,no
69,Palau,no
70,Norway,no
71,Tanzania,no
72,Georgia,no
73,Uruguay,no
74,Angola,no
75,Laos,no
76,Japan,no
77,Mexico,no
78,Ecuador,no
79,Dominica,no
80,Iceland,no
81,Thailand,no
82,Bosnia and Herzegovina,no
83,Sao Tome and Principe,no
84,Malta,no
85,Albania,no
86,Bahamas,no
87,Dominican Republic,no
88,Mongolia,no
89,Cape Verde,no
90,Barbados,no
91,Burkina Faso,no
92,Italy,no
93,Trinidad and Tobago,no
94,China,no
95,Macedonia,no
96,Saint Vincent and the Grenadines,no
97,Equatorial Guinea,no
98,Suriname,no
99,Vietnam,no
100,Lesotho,no
101,Haiti,yes
102,Cook Islands,no
103,Colombia,no
104,Ivory Coast,no
105,Bolivia,no
106,Swaziland,no
107,Zimbabwe,no
108,Seychelles,no
109,Cambodia,no
110,Puerto Rico,no
111,Netherlands Antilles,no
112,Philippines,no
113,Costa Rica,no
114,Armenia,no
115,Cuba,no
116,Nicaragua,yes
117,Jamaica,no
118,Ghana,no
119,Liberia,no
120,Uzbekistan,no
121,Chad,no
122,United Arab Emirates,no
123,Kyrgyzstan,no
124,India,no
125,Turkmenistan,no
126,Kenya,no
127,Ethiopia,no
128,Honduras,no
129,Guinea-Bissau,no
130,Zambia,no
131,Republic of the Congo,no
132,Guatemala,no
133,Central African Republic,no
134,North Korea,no
135,Sri Lanka,no
136,Mauritius,no
137,Samoa,no
138,Democratic Republic of the Congo,no
139,Nauru,no
140,Gambia,no
141,Federated States of Micronesia,no
142,El Salvador,no
143,Fiji,no
144,Papua New Guinea,no
145,Kiribati,no
146,Tajikistan,no
147,Israel,no
148,Sudan,no
149,Malawi,no
150,Lebanon,no
151,Azerbaijan,no
152,Mozambique,no
153,Togo,no
154,Nepal,no
155,Brunei,no
156,Benin,no
157,Singapore,no
158,Turkey,no
159,Madagascar,no
160,Solomon Islands,no
161,Tonga,no
162,Tunisia,no
163,Tuvalu,no
164,Qatar,no
165,Vanuatu,no
166,Djibouti,no
167,Malaysia,no
168,Syria,no
169,Maldives,no
170,Mali,no
171,Eritrea,no
172,Algeria,no
173,Iran,no
174,Oman,no
175,Brunei,no
176,Morocco,no
177,Jordan,no
178,Bhutan,no
179,Guinea,no
180,Burma,no
181,Afghanistan,no
182,Senegal,no
183,Indonesia,no
184,Timor-Leste,no
185,Iraq,no
186,Somalia,no
187,Egypt,no
188,Niger,no
189,Yemen,no
190,Comoros,no
191,Saudi Arabia,no
192,Bangladesh,no
193,Kuwait,no
194,Libya,no
195,Mauritania,no
196,Pakistan,no
